,Report_Date_as_MM_DD_YYYY,Instrument,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Dealer Net,Asset Manager Net,Levered Net,Other Rept Positions Net,Non Rept Positions Net,Dealer Net Pct OI,AM Net Pct OI,HF Net Pct OI,Other Rept Positions Net Pct OI,Non Rept Positions Net Pct OI,Price
22,2018-12-04,1 Month US,23630,9666,5115,985,103,0,0,6595,10347,5935,225,0,0,121,1248,71.6,51.5,86.7,82.5,4551,103,-3752,225,-1127,0.19259415996614473,0.004358865848497672,-0.15878121032585696,0.009521794329242488,-0.04769360981802793,91.01730346679688
23,2018-12-11,1 Month US,31854,13117,4557,986,200,0,0,10934,17727,6287,225,0,0,105,2297,77.5,44.2,87.4,71.4,8560,200,-6793,225,-2192,0.26872606266089033,0.006278646323852577,-0.2132542223896528,0.007063477114334149,-0.06881396370942425,91.05033874511719
24,2018-12-18,1 Month US,38260,11858,6129,4663,500,0,0,13457,18393,7415,225,0,0,142,1660,73.8,47.8,85.8,71.9,5729,500,-4936,225,-1518,0.1497386304234187,0.013068478829064296,-0.12901202300052275,0.005880815473078934,-0.03967590172503921,91.1171875
25,2018-12-24,1 Month US,38102,11029,4007,5708,500,0,0,13063,18234,7408,225,0,0,169,2745,74.3,44.6,85.4,68.5,7022,500,-5171,225,-2576,0.18429478767518764,0.013122670725946145,-0.13571466064773502,0.005905201826675765,-0.06760799958007453,91.15022277832031
26,2018-12-31,1 Month US,41282,9264,7987,3948,500,0,0,16296,17388,9220,1025,0,0,1029,2739,63.300000000000004,42.9,81.6,65.0,1277,500,-1092,1025,-1710,0.03093357879947677,0.012111816287970544,-0.02645220677292767,0.024829223390339616,-0.04142241170485926,91.19158172607422
27,2019-01-08,1 Month US,17933,3771,1265,3179,500,0,0,4301,7971,4421,800,0,0,961,1097,56.4,42.4,72.9,67.2,2506,500,-3670,800,-136,0.1397423743935761,0.02788155913678693,-0.20465064406401606,0.04461049461885909,-0.007583784085206045,91.24945831298828
28,2019-01-15,1 Month US,23917,9381,1581,5922,500,0,0,3005,11018,3875,800,0,0,434,1521,69.5,44.8,81.9,68.1,7800,500,-8013,800,-1087,0.32612785884517287,0.020905631977254674,-0.33503365806748336,0.033449011163607476,-0.04544884391855166,91.30730438232422
29,2019-01-22,1 Month US,29072,11433,1644,6405,500,1200,0,4511,13567,5021,850,0,0,352,1235,63.6,49.8,81.2,70.0,9789,-700,-9056,850,-883,0.33671574023115025,-0.024078150798018713,-0.31150247660979635,0.029237754540451293,-0.03037286736378646,91.3321304321289
30,2019-01-29,1 Month US,33005,12621,2297,6994,651,1200,0,5787,15600,5603,1177,0,0,172,1311,63.8,51.8,80.9,70.3,10324,-549,-9813,1177,-1139,0.31280109074382667,-0.01663384335706711,-0.2973185880927132,0.03566126344493259,-0.034509922738978946,91.35691833496094
31,2019-02-05,1 Month US,33520,16164,8195,2287,651,2400,0,6988,13773,6021,1204,0,0,205,844,64.0,49.5,80.9,70.1,7969,-1749,-6785,1204,-639,0.23773866348448688,-0.05217780429594272,-0.2024164677804296,0.03591885441527446,-0.019063245823389023,91.41314697265625
32,2019-02-12,1 Month US,44754,14794,10141,8828,551,2400,400,11204,14722,7471,1204,0,0,302,792,66.3,44.3,78.8,64.3,4653,-1849,-3518,1204,-490,0.10396836037002279,-0.041314742816284576,-0.07860749877105958,0.026902623229208562,-0.010948742011887206,91.45453643798828
33,2019-02-19,1 Month US,47697,15902,11075,9388,400,2745,104,13841,16934,6647,1204,0,0,211,804,63.800000000000004,44.9,78.0,64.0,4827,-2345,-3093,1204,-593,0.10120133341719605,-0.04916451768455039,-0.06484684571356689,0.025242677736545274,-0.012432647755624044,91.5125503540039
34,2019-02-26,1 Month US,61656,19647,9580,9702,673,3600,699,23659,30878,5068,1912,0,0,296,2129,56.6,45.4,73.1,69.8,10067,-2927,-7219,1912,-1833,0.16327689113792657,-0.047473076424030106,-0.11708511742571688,0.03101076943038796,-0.029729466718567535,91.53736877441406
35,2019-03-05,1 Month US,63463,8213,14113,12496,2484,3600,884,31458,26515,5313,1208,0,0,1407,542,53.2,46.5,70.3,68.3,-5900,-1116,4943,1208,865,-0.09296755589871264,-0.01758504955643446,0.07788790318768417,0.019034713139939808,0.013629989127523124,91.5830078125
36,2019-03-12,1 Month US,67367,10545,20484,9197,2623,3600,674,36696,26600,6173,1208,0,0,251,639,55.6,53.6,73.0,71.2,-9939,-977,10096,1208,-388,-0.1475351433194294,-0.014502649665266376,0.14986566122879155,0.0179316282452833,-0.005759496489379073,91.63277435302734
37,2019-03-19,1 Month US,79953,12619,21004,12565,2313,3600,984,43764,35082,6193,1208,0,0,307,525,57.79999999999999,48.2,75.4,66.9,-8385,-1287,8682,1208,-218,-0.10487411354170575,-0.016096956962215303,0.1085887959176016,0.015108876464923142,-0.0027266018786036798,91.68257904052734
38,2019-03-26,1 Month US,78306,11250,26253,10285,3135,1200,500,44456,32318,7207,1208,0,0,265,543,59.3,49.0,75.9,68.3,-15003,1935,12138,1208,-278,-0.19159451383035783,0.02471075013408934,0.15500727913569842,0.015426659515235103,-0.003550174954665032,91.74068450927734
39,2019-04-02,1 Month US,47180,9563,11556,5945,3447,1200,0,21716,22179,5841,400,0,0,268,459,46.2,54.8,66.6,71.2,-1993,2247,-463,400,-191,-0.042242475625264946,0.047626112759643915,-0.009813480288257737,0.00847816871555744,-0.004048325561678678,91.7905044555664
40,2019-04-09,1 Month US,48156,11167,13657,4596,3470,1200,0,21470,21753,6515,400,0,0,538,435,43.9,54.7,62.0,71.4,-2490,2270,-283,400,103,-0.05170695240468477,0.047138466650053994,-0.005876733948002325,0.008306337735692334,0.0021388819669407757,91.80715942382812
41,2019-04-16,1 Month US,49667,10926,14819,5926,3335,1569,50,20621,19518,7351,400,0,0,1058,434,42.70000000000001,55.5,60.20000000000001,71.0,-3893,1766,1103,400,624,-0.07838202428171623,0.03555680834356816,0.02220790464493527,0.00805363722391125,0.012563674069301548,91.86538696289062
42,2019-04-23,1 Month US,59827,11252,9904,11364,4710,2784,50,17140,19993,14683,500,902,0,128,147,41.5,50.1,60.7,67.3,1348,1926,-2853,-402,-19,0.022531632874788973,0.03219282263860799,-0.04768749895532118,-0.006719374195597306,-0.00031758236247847964,91.88197326660156
43,2019-04-30,1 Month US,63439,11145,12185,10370,4721,2928,50,21143,22344,15200,700,0,0,110,362,39.4,49.2,59.5,67.9,-1040,1793,-1201,700,-252,-0.016393701035640536,0.028263371112407194,-0.018931572061350273,0.0110342218509119,-0.003972319866328284,91.94023132324219
44,2019-05-07,1 Month US,62953,10052,13712,13365,2450,0,60,17727,16918,16474,650,0,0,2175,2424,56.2,46.3,69.3,66.1,-3660,2450,809,650,-249,-0.05813861134497165,0.03891792289485807,0.01285085698854701,0.01032516321700316,-0.0039553317554365955,91.98854064941406
45,2019-05-14,1 Month US,73983,8072,13002,17428,3488,0,542,19441,18373,23982,650,0,0,380,656,53.9,47.0,70.9,66.6,-4930,3488,1068,650,-276,-0.06663693010556479,0.047145965965154156,0.014435748753091927,0.008785802143735724,-0.0037305867564170147,92.03853607177734
46,2019-05-21,1 Month US,78093,14681,15754,13255,5329,0,410,19253,23931,24192,650,0,0,323,551,57.20000000000001,39.0,72.1,61.79999999999999,-1073,5329,-4678,650,-228,-0.013740027915434163,0.06823915075614972,-0.059902936242685,0.008323409268436352,-0.002919595866466905,92.07186126708984
47,2019-05-28,1 Month US,78489,16412,15793,10425,5354,0,285,20301,26574,24628,650,0,0,434,784,57.300000000000004,37.6,71.5,61.199999999999996,619,5354,-6273,650,-350,0.007886455426875104,0.06821338021888418,-0.07992202729044834,0.00828141523015964,-0.004459223585470576,92.11353302001953
48,2019-06-04,1 Month US,77193,11500,15339,13705,5276,1200,285,22846,24071,20817,330,1150,0,2434,626,56.599999999999994,43.2,74.7,65.2,-3839,4076,-1225,-820,1808,-0.04973248869716166,0.05280271527211017,-0.01586931457515578,-0.010622724858471624,0.023421812858678896,92.18939971923828
49,2019-06-11,1 Month US,76435,10042,10215,13202,6202,1200,1285,25884,28846,19057,439,1971,0,324,659,59.9,37.5,77.5,61.9,-173,5002,-2962,-1532,-335,-0.002263361025708118,0.06544122456989598,-0.03875188068293321,-0.020043173938640677,-0.004382808922613985,92.25619506835938
50,2019-06-18,1 Month US,81890,13216,7915,13867,5550,0,3333,25695,35366,19530,439,1600,0,260,279,59.4,36.3,76.1,57.9,5301,5550,-9671,-1161,-19,0.06473317865429234,0.06777384296006839,-0.11809744779582367,-0.014177555257052143,-0.0002320185614849188,92.31461334228516
51,2019-06-25,1 Month US,89583,11517,8865,15264,3850,1200,2983,35332,37878,19963,439,3136,0,235,294,59.0,35.0,75.1,55.0,2652,2650,-2546,-2697,-59,0.029603831084022637,0.029581505419555048,-0.028420570867240435,-0.030106158534543383,-0.0006586071017938671,92.35636138916016
52,2019-07-02,1 Month US,70795,10755,12338,9600,2141,2450,3015,28686,28609,14579,964,0,76,979,128,62.0,37.2,78.2,55.6,-1583,-309,77,964,851,-0.02236033618193375,-0.004364715022247334,0.0010876474327283,0.01361678084610495,0.012020622925347835,92.40567779541016
53,2019-07-09,1 Month US,84730,14753,8067,18200,1741,2667,4149,29409,36188,14992,964,0,143,379,324,53.0,36.7,74.1,55.5,6686,-926,-6779,964,55,0.07890947716275228,-0.010928832762893899,-0.08000708131712499,0.011377316180809631,0.000649120736456981,92.42239379882812
