,label,category,level,weight,parent,1D,1W,1M,3M,1Y,2Y,5Y
005930.KS,Samsung,stocks,2,150,EWY,0.0,2.4271844660194173,17.157134925041643,18.141097424412095,202.08749978748287,291.0284963030158,282.12428589569043
000660.KS,SK Hynix,stocks,2,80,EWY,0.0,10.613437195715676,21.757770632368704,28.1639867235761,335.3268349259012,613.844582885364,1317.632387783606
373220.KS,LG Energy,stocks,2,50,EWY,0.0,-0.9708737864077669,6.11183355006502,-0.4878048780487805,5.5627425614489,1.3664596273291925,-30.730050933786078
005380.KS,Hyundai Motor,stocks,2,55,EWY,0.0,3.7793667007150153,3.6734693877551026,0.8359721413333758,145.21239245748643,148.44946427702178,275.8966016112266
035420.KS,NAVER,stocks,2,45,EWY,0.0,4.455445544554455,-0.2364066193853428,-16.54933992468306,-9.462235581488915,4.77373791637746,27.535312095077273
051910.KS,LG Chem,stocks,2,40,EWY,0.0,-0.5617977528089888,13.463868198415533,5.8771244004805965,21.80393695097908,17.247842874642206,-46.41228649709776
055550.KS,Shinhan,stocks,2,35,EWY,0.0,1.1144883485309016,6.852248394004283,-5.0337311497970525,46.60863102308595,95.58109873665516,229.25720403171508
035720.KS,Kakao,stocks,2,35,EWY,0.0,3.9832285115303985,1.9527235354573484,-15.528059065961571,-21.90330194974813,30.22121690217574,-0.4930677579076335
BHP.AX,BHP,stocks,2,100,EWA,0.0,3.945907903257072,11.706153935301124,9.764592935810521,46.59357236284254,48.83917003257909,75.32381309059997
CBA.AX,CommBank,stocks,2,90,EWA,0.0,-0.10361131876273506,5.780119060499806,3.8606120917036275,5.824847085346346,20.539075092717034,98.35005946929827
CSL.AX,CSL,stocks,2,70,EWA,0.0,0.179610601059685,-3.4014571905098054,-7.196719082287084,-46.191218389694626,-49.495705360352254,-46.86958497491951
NAB.AX,NAB,stocks,2,50,EWA,0.0,-1.8518521633269003,4.605260858150899,-4.340353283254299,16.981146637961945,17.61681711776465,64.95434432927574
